PGLA,GT12,138,138,138,139,138,194,217,218,212,216,195,195,195,214,147,137,139,151,219,217,178,222,210,212,214,214,214,214,214,171,212,213,213,224,214,214,214,140,175,216,216,217,217,216,217,215,216,215,CCGTGas
PGLA,ST10,176,176,176,175,175,202,231,234,229,230,208,210,210,231,191,175,175,177,228,229,199,232,230,231,232,234,236,234,235,207,234,234,233,237,234,233,233,172,187,234,234,233,236,237,234,237,237,237,CCGTGas
SKSP,BLK1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,86,149,215,340,336,336,336,336,336,CCGTGas
SPGP,BLK1,715,721,714,721,721,713,721,722,709,721,722,722,723,718,711,718,715,723,703,713,725,721,713,714,707,705,712,714,712,709,703,703,692,709,707,707,688,719,719,721,725,722,719,719,708,724,724,725,CCGTGas
SPGP,BLK2,593,598,592,597,598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CCGTGas
TJGS,GT2A,165,165,165,165,165,164,166,166,164,164,164,164,164,223,227,165,165,179,228,198,165,189,230,230,230,230,230,230,230,166,164,164,227,229,227,227,228,162,188,226,226,226,226,225,225,225,226,226,CCGTGas
TJGS,ST2C,94,94,94,91,94,94,94,94,88,91,91,91,91,115,115,92,92,93,116,112,93,106,119,119,119,119,119,119,119,90,95,95,122,119,119,119,119,93,100,117,117,117,117,117,117,117,117,117,CCGTGas
BSIA,HY02,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,11,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,Hydro
BSIA,HY03,23,23,23,23,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,23,22,22,22,23,23,23,Hydro
CEND,HY01,9,9,9,9,9,9,9,9,9,9,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,Hydro
CEND,HY02,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,Hydro
CEND,HY03,9,9,9,9,10,9,9,10,10,9,10,9,10,9,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,Hydro
CEND,HY04,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Hydro
HTRG,HY01,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,62,Hydro
HTRG,HY04,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Hydro
KNRG,HY01,20,21,21,21,21,22,22,32,32,33,22,22,22,22,22,22,22,21,21,21,21,21,21,21,21,21,21,21,31,21,21,21,21,21,21,21,21,21,21,31,31,31,21,21,21,21,21,21,Hydro
KNRG,HY02,23,23,23,23,23,24,25,37,37,37,25,25,25,25,24,24,24,24,24,24,25,25,24,25,23,23,24,23,37,24,23,23,23,24,23,24,23,24,24,37,37,37,21,21,21,22,21,22,Hydro
KNRG,HY03,22,22,22,22,22,22,23,36,35,36,23,23,23,22,22,22,22,22,21,22,23,22,21,22,21,22,22,22,36,22,21,22,21,23,22,22,21,23,22,36,35,35,22,22,21,22,22,22,Hydro
KNYR,HY01,100,100,100,101,101,101,101,101,100,100,101,101,101,101,100,59,59,100,100,100,100,100,100,100,100,100,100,100,101,60,60,100,100,102,101,101,100,101,101,101,102,101,101,100,100,101,101,101,Hydro
KNYR,HY02,104,104,104,104,105,104,104,104,104,104,104,104,104,104,104,58,58,104,104,104,105,104,104,104,104,104,104,104,104,60,59,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,Hydro
